City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Chuy,UY,2022-05-24 00:34:38,-33.6971,-53.4616,53.49,81,66,5.77,broken clouds
159,Qui Nhon,VN,2022-05-24 00:36:29,13.7667,109.2333,83.32,72,97,9.46,overcast clouds
160,Lagoa,PT,2022-05-24 00:34:37,39.05,-27.9833,60.89,84,40,14.41,scattered clouds
161,Denpasar,ID,2022-05-24 00:41:02,-8.65,115.2167,80.26,78,20,2.3,few clouds
162,Pangnirtung,CA,2022-05-24 00:33:24,66.1451,-65.7125,3.85,94,15,6.71,few clouds
163,Amahai,ID,2022-05-24 00:41:02,-3.3333,128.9167,83.93,74,100,1.25,overcast clouds
164,Bambous Virieux,MU,2022-05-24 00:41:02,-20.3428,57.7575,75.22,73,20,10.36,few clouds
165,Mount Isa,AU,2022-05-24 00:41:03,-20.7333,139.5,73.17,49,16,12.66,few clouds
166,Bilibino,RU,2022-05-24 00:41:03,68.0546,166.4372,57.38,39,42,11.14,scattered clouds
167,Palmer,US,2022-05-24 00:41:03,42.1584,-72.3287,66.61,50,75,8.05,broken clouds
168,Cockburn Town,TC,2022-05-24 00:41:04,21.4612,-71.1419,80.56,69,40,17.27,scattered clouds
169,Bardiyah,LY,2022-05-24 00:39:15,31.7561,25.0865,66.06,59,0,6.64,clear sky
170,Maloy,NO,2022-05-24 00:41:04,61.9353,5.1136,49.73,92,100,4.68,light rain
171,Klaksvik,FO,2022-05-24 00:41:04,62.2266,-6.589,43.72,88,100,6.06,light rain
172,Ribeira Grande,PT,2022-05-24 00:37:05,38.5167,-28.7,63.59,88,98,8.95,overcast clouds
173,Penzance,GB,2022-05-24 00:41:05,50.1186,-5.5371,52.48,77,38,19.39,scattered clouds
174,Sao Joao Da Ponte,BR,2022-05-24 00:41:05,-15.9292,-44.0078,60.4,59,0,3.44,clear sky
175,Basco,PH,2022-05-24 00:41:05,20.4487,121.9702,82.56,78,100,9.26,overcast clouds
176,Husavik,IS,2022-05-24 00:35:47,66.0449,-17.3389,39.13,86,87,4.38,overcast clouds
177,Bykovo,RU,2022-05-24 00:41:06,55.6361,38.0803,44.33,49,0,6.71,clear sky
178,Panama City,PA,2022-05-24 00:37:35,8.9936,-79.5197,80.29,92,75,3.44,broken clouds
179,Roma,US,2022-05-24 00:41:06,43.2128,-75.4557,58.37,68,100,1.01,overcast clouds
180,Maumere,ID,2022-05-24 00:41:07,-8.6199,122.2111,83.84,67,44,3.67,scattered clouds
181,Abu Samrah,SY,2022-05-24 00:41:07,35.3029,37.1841,62.65,65,2,13.8,clear sky
182,Westport,US,2022-05-24 00:41:07,41.1415,-73.3579,68.09,52,100,3.0,overcast clouds
183,Raahe,FI,2022-05-24 00:41:08,64.6833,24.4833,39.29,63,0,7.27,clear sky
184,Baruun-Urt,MN,2022-05-24 00:42:08,46.6806,113.2792,54.46,44,100,16.51,overcast clouds
185,Maxixe,MZ,2022-05-24 00:42:08,-23.8597,35.3472,59.85,94,3,5.7,clear sky
186,Micheweni,TZ,2022-05-24 00:42:09,-4.9667,39.8333,78.35,83,99,10.31,overcast clouds
187,Mongo,TD,2022-05-24 00:42:09,12.1844,18.693,91.98,14,100,4.07,overcast clouds
188,Iwanai,JP,2022-05-24 00:42:09,42.9744,140.5089,60.28,81,95,4.88,overcast clouds
189,Callaguip,PH,2022-05-24 00:42:10,18.0714,120.4867,82.42,83,75,5.75,broken clouds
190,Osakarovka,KZ,2022-05-24 00:41:16,50.565,72.5692,57.97,36,0,5.68,clear sky
191,Callaway,US,2022-05-24 00:41:16,30.153,-85.5699,75.94,86,0,5.75,clear sky
192,Dakar,SN,2022-05-24 00:38:42,14.6937,-17.4441,71.73,78,75,13.8,broken clouds
193,Lapeer,US,2022-05-24 00:42:11,43.0514,-83.3188,55.89,50,100,0.0,overcast clouds
194,Huejuquilla El Alto,MX,2022-05-24 00:42:11,22.6,-103.8667,77.29,16,8,14.09,clear sky
195,Ponta Delgada,PT,2022-05-24 00:42:12,37.7333,-25.6667,62.51,82,20,4.61,few clouds
196,Narsaq,GL,2022-05-24 00:42:13,60.9167,-46.05,41.22,83,70,4.23,broken clouds
197,Harper,LR,2022-05-24 00:42:13,4.375,-7.7169,77.02,89,100,10.04,moderate rain
198,Matagami,CA,2022-05-24 00:42:14,49.7502,-77.6328,57.31,33,0,3.44,clear sky
199,Banda Aceh,ID,2022-05-24 00:42:14,5.5577,95.3222,82.78,76,100,10.6,overcast clouds
200,Lebu,CL,2022-05-24 00:35:49,-37.6167,-73.65,47.82,84,100,6.04,moderate rain
201,Sinegorye,RU,2022-05-24 00:42:14,62.0788,150.477,40.15,69,64,8.1,broken clouds
202,Vanimo,PG,2022-05-24 00:42:15,-2.6741,141.3028,85.24,68,19,6.82,few clouds
