City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
55,Takoradi,GH,2022-05-22 14:31:00,4.8845,-1.7554,75.9,90,100,8.79
56,Aklavik,CA,2022-05-22 14:28:43,68.2191,-135.0107,26.6,86,100,8.05
57,Los Llanos De Aridane,ES,2022-05-22 14:31:00,28.6585,-17.9182,71.35,76,20,13.8
58,Ukiah,US,2022-05-22 14:31:01,39.1502,-123.2078,60.64,70,0,1.99
59,Henties Bay,NA,2022-05-22 14:31:01,-22.116,14.2845,66.67,51,2,11.68
60,Biak,ID,2022-05-22 14:31:01,-0.9131,122.8766,76.32,83,92,6.33
61,Airai,TL,2022-05-22 14:28:30,-8.9266,125.4092,58.26,92,34,3.47
62,Sao Filipe,CV,2022-05-22 14:27:19,14.8961,-24.4956,72.37,77,18,13.96
63,Nikolskoye,RU,2022-05-22 14:31:02,59.7035,30.7861,52.88,34,0,8.77
64,Ostrovnoy,RU,2022-05-22 14:31:02,68.0531,39.5131,33.58,68,7,12.62
65,Ekhabi,RU,2022-05-22 14:31:02,53.5102,142.9671,31.71,96,100,14.32
66,New Norfolk,AU,2022-05-22 14:27:20,-42.7826,147.0587,47.91,81,99,2.1
67,Avera,US,2022-05-22 14:31:03,33.194,-82.5271,77.05,61,77,9.48
68,Atasu,KZ,2022-05-22 14:23:09,48.6814,71.6433,56.93,30,61,16.51
69,East London,ZA,2022-05-22 14:31:03,-33.0153,27.9116,65.34,77,0,9.22
70,Kahului,US,2022-05-22 14:31:03,20.8947,-156.47,75.85,75,20,11.01
71,Arraial Do Cabo,BR,2022-05-22 14:31:04,-22.9661,-42.0278,75.16,64,20,10.36
72,Chuy,UY,2022-05-22 14:26:12,-33.6971,-53.4616,59.56,64,0,4.05
73,Adre,TD,2022-05-22 14:31:04,13.4667,22.2,99.14,9,79,5.91
74,Haines Junction,CA,2022-05-22 14:31:04,60.7522,-137.5108,31.95,80,100,1.14
75,Vilcun,CL,2022-05-22 14:31:04,-38.65,-72.2333,48.94,92,100,15.26
76,Port Alfred,ZA,2022-05-22 14:31:05,-33.5906,26.891,66.18,77,38,1.01
77,Jamestown,US,2022-05-22 14:24:11,42.097,-79.2353,70.05,86,20,11.5
78,Vostok,RU,2022-05-22 14:27:29,46.4856,135.8833,42.55,96,82,0.76
79,Umm Lajj,SA,2022-05-22 14:31:05,25.0213,37.2685,81.0,58,0,15.26
80,Mount Gambier,AU,2022-05-22 14:30:15,-37.8333,140.7667,42.71,93,1,0.0
81,Ponta Do Sol,PT,2022-05-22 14:31:05,32.6667,-17.1,72.23,74,13,1.21
82,Kaeo,NZ,2022-05-22 14:31:06,-35.1,173.7833,55.15,89,100,5.7
83,Tazovskiy,RU,2022-05-22 14:31:06,67.4667,78.7,36.14,93,98,11.1
84,Rock Sound,BS,2022-05-22 14:31:06,24.9,-76.2,78.94,80,91,16.35
85,Kharan,PK,2022-05-22 14:32:07,28.5833,65.4167,93.22,11,1,19.48
86,Guerrero Negro,MX,2022-05-22 14:32:07,27.9769,-114.0611,61.86,72,0,10.4
87,Hithadhoo,MV,2022-05-22 14:23:04,-0.6,73.0833,83.97,70,100,13.0
88,Pervomayskoye,RU,2022-05-22 14:32:07,43.919,46.7102,70.86,48,0,11.7
89,Mineros,BO,2022-05-22 14:32:08,-17.1167,-63.2333,73.94,59,100,3.67
90,Solkan,SI,2022-05-22 14:32:08,45.9714,13.6494,84.58,59,99,5.91
91,Severo-Kurilsk,RU,2022-05-22 14:32:08,50.6789,156.125,40.62,96,99,15.82
92,Khatanga,RU,2022-05-22 14:32:08,71.9667,102.5,32.68,90,100,6.64
93,Atuona,PF,2022-05-22 14:27:19,-9.8,-139.0333,77.88,80,26,16.35
94,Bathsheba,BB,2022-05-22 14:32:09,13.2167,-59.5167,86.61,66,20,21.85
95,Avarua,CK,2022-05-22 14:26:15,-21.2078,-159.775,75.25,94,75,8.05
96,Cape Town,ZA,2022-05-22 14:25:13,-33.9258,18.4232,67.1,68,20,8.05
97,Barrow,US,2022-05-22 14:32:09,71.2906,-156.7887,21.22,86,100,9.22
98,Narsaq,GL,2022-05-22 14:23:08,60.9167,-46.05,37.62,98,100,7.2
99,Gat,IL,2022-05-22 14:32:04,31.61,34.7642,76.82,39,0,9.64
