City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Lockhart,US,84.99,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
375,Paracuru,BR,80.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
387,Tabas,IR,80.11,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
389,Dzidzantun,MX,87.15,scattered clouds,21.25,-89.05,Hacienda San Francisco Tzacalha
390,Itoman,JP,79.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
397,Ardakan,IR,79.79,clear sky,32.31,54.0175,Ardakan Hotel
398,Port Moresby,PG,87.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
401,Tuy Hoa,VN,83.84,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
404,Pochutla,MX,89.42,clear sky,15.7432,-96.4661,Hotel Posada San Jose
406,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
409,Brokopondo,SR,75.72,overcast clouds,4.75,-55.1667,Matu Island
412,Kita,ML,87.6,light rain,13.0349,-9.4895,Hôtel Chat Rouge
414,Kavieng,PG,85.03,broken clouds,-2.5744,150.7967,Nusa Island Retreat
415,Lodwar,KE,83.8,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
422,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
424,Nanakuli,US,85.95,clear sky,21.3906,-158.1547,Camp Pālehua
426,Lumphat,KH,75.94,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
427,Maragogi,BR,76.33,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
431,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
432,Puntarenas,CR,80.74,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
433,Tamandare,BR,76.44,light rain,-8.7597,-35.1047,Pousada 100 Passos
440,Sarangani,PH,84.04,scattered clouds,5.4033,125.4636,Ballistic Islet
441,Buala,SB,86.23,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
445,Monrovia,LR,75.52,moderate rain,6.3005,-10.7969,Sunset Inn
447,Myitkyina,MM,79.34,broken clouds,25.3833,97.4,Shwe Phyu Hotel
454,Orange,US,79.88,few clouds,33.7,-117.7675,Meadows
459,Ometepec,MX,80.69,scattered clouds,16.6833,-98.4167,MH Grand Hotel - Ometepec
460,Gazanjyk,TM,77.86,broken clouds,39.2446,55.5154,Railway motel
465,Wakema,MM,77.36,overcast clouds,16.6,95.1833,AungKaDay Hotel
467,Benemerito De Las Americas,MX,75.4,broken clouds,16.5167,-90.6439,Residencia Univeresitaria
470,Cairns,AU,81.1,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
473,Kandrian,PG,87.24,few clouds,-6.2167,149.55,Kandrian Station
474,Nuevo Progreso,MX,82.54,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
483,Samarai,PG,83.5,clear sky,-10.6167,150.6667,Nuli Sapi
487,Kuntaur,GM,78.33,broken clouds,13.6667,-14.8833,Kairoh Garden Kuntaur
491,Bandarbeyla,SO,81.64,scattered clouds,9.4942,50.8122,JABIR HOTEL
493,Na Wa,TH,84.24,overcast clouds,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
494,Pemangkat,ID,81.91,broken clouds,1.1667,108.9667,Ramah Kost KITA
499,Umm Lajj,SA,75.83,clear sky,25.0213,37.2685,Moon light Furnished Units
500,Puerto Carreno,CO,78.76,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
501,Kawalu,ID,78.17,overcast clouds,-7.3817,108.2082,West Jontor
502,Tabou,CI,76.51,moderate rain,4.423,-7.3528,hotêl doufoulougou
510,Valle De Allende,MX,85.14,scattered clouds,26.9333,-105.4,Hotel Meson de San Bartolome
511,Kaele,CM,82.36,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
517,Altamira,BR,75.29,broken clouds,-3.2033,-52.2064,Requinte Hotel
520,Takoradi,GH,77.41,moderate rain,4.8845,-1.7554,Raybow International Hotel
523,Bilma,NE,84.31,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
524,Kokoda,PG,86.61,overcast clouds,-8.8785,147.7407,Daito Guest House
525,Weligama,LK,78.96,overcast clouds,5.9667,80.4167,Weligama Bay Resort
527,Cocorit,MX,86.27,clear sky,27.5833,-109.9667,Kaba Motel
530,Phetchabun,TH,79.07,overcast clouds,16.25,101.0833,วินธนา รีสอร์ท
532,Cravo Norte,CO,79.45,clear sky,6.3017,-70.2041,Hotel Potosí Los Mirtos
533,Mana,GF,76.69,few clouds,5.6592,-53.7767,LE SAMANA
535,Aksu,CN,76.33,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
537,Ukiah,US,85.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
540,Wanning,CN,82.89,moderate rain,18.8003,110.3967,Paradise Hotel
542,Baoding,CN,83.52,clear sky,38.8511,115.4903,Xiu Lan Hotel
543,Robstown,US,81.21,clear sky,27.7903,-97.6689,Days Inn by Wyndham Robstown
545,Chirongui,YT,76.93,clear sky,-12.9319,45.1483,La Villa Mahatsara
549,Manali,IN,86.09,overcast clouds,13.1667,80.2667,Sarathy Lodge
550,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
551,Bajos De Haina,DO,79.32,broken clouds,18.4154,-70.0332,Familia García Santana
553,Caucaia,BR,80.55,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
556,Loiza,PR,81.07,broken clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
560,Yebaishou,CN,80.74,scattered clouds,41.3975,119.6408,Siji Home
561,Pasni,PK,81.16,clear sky,25.2631,63.471,Kashmiri Hotal
562,Kalmunai,LK,79.41,overcast clouds,7.4167,81.8167,VS Villa
564,Kralendijk,BQ,80.58,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
568,Isla Vista,US,75.9,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
570,Arlit,NE,84.45,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
575,Lang Suan,TH,81.5,overcast clouds,9.9456,99.0785,Langsuan Resort
587,Auki,SB,84.88,overcast clouds,-8.7676,160.7034,Auki Motel
588,Yanam,IN,85.95,scattered clouds,16.7333,82.2167,The Regency Hotel
589,Pulivendla,IN,81.43,few clouds,14.4167,78.2333,Kothabalaji
594,Dabola,GN,78.46,overcast clouds,10.75,-11.1167,Hotel Tinkisso
595,Tougan,BF,81.46,overcast clouds,13.0667,-3.0667,Hôtel SMAK
601,Kimbe,PG,89.49,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
607,Road Town,VG,80.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
614,Sitamarhi,IN,83.46,clear sky,26.6,85.4833,SPOT ON 60056 Hotel Shiv Surya
616,San Policarpo,PH,84.36,scattered clouds,12.1791,125.5072,Agapita M. Nicart
621,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
623,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
624,Ternate,ID,83.3,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
625,Tangjiazhuang,CN,83.89,clear sky,39.7333,118.45,Peace Hotel
632,Boyolangu,ID,80.4,broken clouds,-8.1181,111.8935,Yos ega cv
633,Itarema,BR,75.88,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
634,Odweyne,SO,76.42,scattered clouds,9.4092,45.064,Eng Hiirey House
636,Pedasi,PA,80.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
643,Homestead,US,83.01,light intensity drizzle,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
644,Sundargarh,IN,84.42,clear sky,22.1167,84.0333,Sankara City
646,Sinor,IN,84.22,clear sky,21.9167,73.3333,Reva Forest Homestay
651,Katherine,AU,84.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
654,Winnemucca,US,75.25,clear sky,40.973,-117.7357,Winners Inn Casino
658,Mogadishu,SO,79.5,overcast clouds,2.0371,45.3438,Hotel Juba
664,Ugoofaaru,MV,83.26,overcast clouds,5.6667,73.0,Ungoofaaru Inn
666,Salinopolis,BR,76.91,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
669,Kailua,US,81.14,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
671,Sao Cristovao,BR,80.51,few clouds,-11.0147,-37.2064,Hotel deimar
672,Kiunga,PG,84.45,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
